"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1402","SCB FR – Is Capital Com Safe?","chromium","2026-01-14","passed","2026-01-14","","about_page/is_capital_com_safe.spec.js","",""
"","1486","FCA EN – Contact us","chromium","2026-01-14","passed","2026-01-14","","about_page/contact_us.spec.js","",""
"","1447","SCA EN – Help","chromium","2026-01-14","passed","2026-01-14","","about_page/help.spec.js","",""
"","2154","SCB RU – Complaints","chromium","2026-01-14","passed","2026-01-14","","about_page/complaints.spec.js","",""
"","3367","FCA EN – Client vulnerability","chromium","2026-01-14","passed","2026-01-14","","about_page/client_vulnerability.spec.js","",""
"","1461","SCA AR – Is Capital Com Safe?","chromium","2026-01-14","passed","2026-01-14","","about_page/is_capital_com_safe.spec.js","",""
"","1320","FCA EN – Is Capital Com Safe?","chromium","2026-01-14","passed","2026-01-14","","about_page/is_capital_com_safe.spec.js","",""
"","3521","SCA EN – Client vulnerability","chromium","2026-01-14","passed","2026-01-14","","about_page/client_vulnerability.spec.js","",""
"","1455","SCB EN – Help","chromium","2026-01-14","passed","2026-01-14","","about_page/investor_relations.spec.js","",""
"","1385","ASIC EN – Help","chromium","2026-01-14","passed","2026-01-14","","about_page/help.spec.js","",""
"","1612","SCB DE – Client vulnerability","chromium","2026-01-14","passed","2026-01-14","","about_page/client_vulnerability.spec.js","",""
"","1585","SCB RU – Client vulnerability","chromium","2026-01-14","passed","2026-01-14","","about_page/client_vulnerability.spec.js","",""
"","1455","SCB EN – Is Capital Com Safe?","chromium","2026-01-14","passed","2026-01-14","","about_page/is_capital_com_safe.spec.js","",""
"","2973","SCB FR – Complaints","chromium","2026-01-14","passed","2026-01-14","","about_page/complaints.spec.js","",""
"","1488","SCB RU – Help","chromium","2026-01-14","passed","2026-01-14","","about_page/help.spec.js","",""
"","2020","CySEC FR – Client vulnerability","chromium","2026-01-14","passed","2026-01-14","","about_page/client_vulnerability.spec.js","",""
"","1834","SCB AR – Client vulnerability","chromium","2026-01-14","passed","2026-01-14","","about_page/client_vulnerability.spec.js","",""
"","1994","CySEC EN – Help","chromium","2026-01-14","passed","2026-01-14","","about_page/help.spec.js","",""
"","1960","SCA EN – Contact us","chromium","2026-01-14","passed","2026-01-14","","about_page/contact_us.spec.js","",""
"","1406","SCB RU – Is Capital Com Safe?","chromium","2026-01-14","passed","2026-01-14","","about_page/is_capital_com_safe.spec.js","",""
