"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1543","ASIC EN – Investor Relations - un","chromium","2026-01-19","passed","2026-01-19","","about_page/investor_relations.spec.js","",""
"","1876","SCA AR – Our Offices - un","chromium","2026-01-19","passed","2026-01-19","","about_page/our_offices.spec.js","",""
"","2869","SCA EN – Complaints - un","chromium","2026-01-19","passed","2026-01-19","","about_page/complaints.spec.js","",""
"","2814","CySEC DE – Why Capital Com?, ""Create your account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","1434","FCA EN – Investor Relations - un","chromium","2026-01-19","passed","2026-01-19","","about_page/investor_relations.spec.js","",""
"","1566","SCB FR – Why Capital Com?, ""Create your account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","2004","SCA AR – Contact us - un","chromium","2026-01-19","passed","2026-01-19","","about_page/contact_us.spec.js","",""
"","1487","SCA AR – Why Capital Com?, ""Create your account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","2503","CySEC RO – Our Offices - un","chromium","2026-01-19","passed","2026-01-19","","about_page/our_offices.spec.js","",""
"","2049","ASIC EN – Client vulnerability - un","chromium","2026-01-19","passed","2026-01-19","","about_page/client_vulnerability.spec.js","",""
"","2061","ASIC EN – Why Capital Com?, ""Create your account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","2073","CySEC FR – Our Offices - un","chromium","2026-01-19","passed","2026-01-19","","about_page/our_offices.spec.js","",""
"","1511","SCB EN – Why Capital Com?, ""Create account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","1423","CySEC DE – Our Offices - un","chromium","2026-01-19","passed","2026-01-19","","about_page/our_offices.spec.js","",""
"","1927","FCA EN – Is Capital Com Safe? - un","chromium","2026-01-19","passed","2026-01-19","","about_page/is_capital_com_safe.spec.js","",""
"","1475","SCB DE – Why Capital Com?, ""Try demo account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","2138","SCB EN – Contact us - un","chromium","2026-01-19","passed","2026-01-19","","about_page/contact_us.spec.js","",""
"","2181","ASIC EN – Complaints - un","chromium","2026-01-19","passed","2026-01-19","","about_page/complaints.spec.js","",""
"","1955","CySEC DE – Why Capital Com?, ""Create account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","1938","CySEC FR – Is Capital Com Safe? - un","chromium","2026-01-19","passed","2026-01-19","","about_page/is_capital_com_safe.spec.js","",""
"","1617","SCB FR – Our Offices - un","chromium","2026-01-19","passed","2026-01-19","","about_page/our_offices.spec.js","",""
"","1810","SCA EN – Our Offices - un","chromium","2026-01-19","passed","2026-01-19","","about_page/our_offices.spec.js","",""
"","1892","CySEC FR – Why Capital Com?, ""Create account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","2098","CySEC EN – Client vulnerability - un","chromium","2026-01-19","passed","2026-01-19","","about_page/client_vulnerability.spec.js","",""
"","2378","SCB RU – Complaints - un","chromium","2026-01-19","passed","2026-01-19","","about_page/complaints.spec.js","",""
"","1473","CySEC FR – Why Capital Com?, ""Try demo account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","1598","ASIC EN – Help - un","chromium","2026-01-19","passed","2026-01-19","","about_page/help.spec.js","",""
"","1448","SCB FR – Is Capital Com Safe? - un","chromium","2026-01-19","passed","2026-01-19","","about_page/is_capital_com_safe.spec.js","",""
"","1546","CySEC RO – Why Capital Com?, ""Try demo account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","1315","SCB FR – Client vulnerability - un","chromium","2026-01-19","passed","2026-01-19","","about_page/client_vulnerability.spec.js","",""
"","1814","FCA EN – Our Offices - un","chromium","2026-01-19","passed","2026-01-19","","about_page/our_offices.spec.js","",""
"","2468","CySEC RO – Help - un","chromium","2026-01-19","passed","2026-01-19","","about_page/help.spec.js","",""
"","2209","FCA EN – Contact us - un","chromium","2026-01-19","passed","2026-01-19","","about_page/contact_us.spec.js","",""
"","1930","SCB DE – Why Capital Com?, ""Create your account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","1983","CySEC FR – Client vulnerability - un","chromium","2026-01-19","passed","2026-01-19","","about_page/client_vulnerability.spec.js","",""
"","1772","CySEC DE – Is Capital Com Safe? - un","chromium","2026-01-19","passed","2026-01-19","","about_page/is_capital_com_safe.spec.js","",""
"","1981","SCB RU – Contact us - un","chromium","2026-01-19","passed","2026-01-19","","about_page/contact_us.spec.js","",""
"","1625","SCB EN – Investor Relations - un","chromium","2026-01-19","passed","2026-01-19","","about_page/investor_relations.spec.js","",""
"","3317","SCA AR – Complaints - un","chromium","2026-01-19","passed","2026-01-19","","about_page/complaints.spec.js","",""
"","1477","SCB DE – Why Capital Com?, ""Create account"" - un","chromium","2026-01-19","passed","2026-01-19","","about_page/why_capital_com.spec.js","",""
"","1504","FCA EN – Help - un","chromium","2026-01-19","passed","2026-01-19","","about_page/help.spec.js","",""
"","1923","SCA EN – Investor Relations - un","chromium","2026-01-19","passed","2026-01-19","","about_page/investor_relations.spec.js","",""
"","2454","SCB DE – Client vulnerability - un","chromium","2026-01-19","passed","2026-01-19","","about_page/client_vulnerability.spec.js","",""
"","1821","SCB EN – Complaints - un","chromium","2026-01-19","passed","2026-01-19","","about_page/complaints.spec.js","",""
"","6702","SCB AR – Complaints - un","chromium","2026-01-19","passed","2026-01-19","","about_page/complaints.spec.js","",""
"","2205","SCB AR – Client vulnerability - un","chromium","2026-01-19","passed","2026-01-19","","about_page/client_vulnerability.spec.js","",""
"","1889","SCB EN – Help - un","chromium","2026-01-19","passed","2026-01-19","","about_page/help.spec.js","",""
"","2431","SCB RU – Help - un","chromium","2026-01-19","passed","2026-01-19","","about_page/help.spec.js","",""
