"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15238","ASIC EN – Complaints","authorized","2026-02-16","passed","2026-02-16","","about_page/complaints.spec.js","",""
"","15855","SCA AR – Help","authorized","2026-02-16","passed","2026-02-16","","about_page/help.spec.js","",""
"","14696","CySEC RO – Why Capital Com?, ""Try demo account""","authorized","2026-02-16","passed","2026-02-16","","about_page/why_capital_com.spec.js","",""
"","14945","CySEC FR – Help","authorized","2026-02-16","passed","2026-02-16","","about_page/help.spec.js","",""
"","14583","CySEC EN – Why Capital Com?, ""Try demo account""","authorized","2026-02-16","passed","2026-02-16","","about_page/why_capital_com.spec.js","",""
"","15117","CySEC FR – Our Offices","authorized","2026-02-16","passed","2026-02-16","","about_page/our_offices.spec.js","",""
"","14660","CySEC NL – Client vulnerability","authorized","2026-02-16","passed","2026-02-16","","about_page/client_vulnerability.spec.js","",""
"","16270","CySEC DE – Contact us","authorized","2026-02-16","passed","2026-02-16","","about_page/contact_us.spec.js","",""
"","14412","CySEC DE – Help","authorized","2026-02-16","passed","2026-02-16","","about_page/help.spec.js","",""
"","14385","CySEC IT – Our Offices","authorized","2026-02-16","passed","2026-02-16","","about_page/our_offices.spec.js","",""
"","14874","CySEC EN – Contact us","authorized","2026-02-16","passed","2026-02-16","","about_page/contact_us.spec.js","",""
"","13934","SCA EN – Why Capital Com?, ""Try demo account""","authorized","2026-02-16","passed","2026-02-16","","about_page/why_capital_com.spec.js","",""
"","14991","SCA AR – Our Offices","authorized","2026-02-16","passed","2026-02-16","","about_page/our_offices.spec.js","",""
"","15554","SCB AR – Our Offices","authorized","2026-02-16","passed","2026-02-16","","about_page/our_offices.spec.js","",""
"","14761","SCB RU – Is Capital Com Safe?","authorized","2026-02-16","passed","2026-02-16","","about_page/is_capital_com_safe.spec.js","",""
"","15694","FCA EN – Is Capital Com Safe?","authorized","2026-02-16","passed","2026-02-16","","about_page/is_capital_com_safe.spec.js","",""
"","14792","CySEC IT – Why Capital Com?, ""Create your account""","authorized","2026-02-16","passed","2026-02-16","","about_page/why_capital_com.spec.js","",""
"","15534","CySEC RO – Why Capital Com?, ""Create account""","authorized","2026-02-16","passed","2026-02-16","","about_page/why_capital_com.spec.js","",""
"","14460","CySEC PL – Why Capital Com?, ""Create your account""","authorized","2026-02-16","passed","2026-02-16","","about_page/why_capital_com.spec.js","",""
"","14807","SCA EN – Is Capital Com Safe?","authorized","2026-02-16","passed","2026-02-16","","about_page/is_capital_com_safe.spec.js","",""
