"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9187","SCA EN – Main Page, ""Buy link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","5005","CySEC DE – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","7628","SCB FR – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4200","SCB RU – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4309","CySEC PL – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4331","CySEC RO – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4813","CySEC IT – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4309","SCB AR – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","7669","SCB FR – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4768","SCA EN – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4277","FCA EN – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4324","SCB AR – Main Page, ""Sign up - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4308","CySEC EN – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4257","CySEC RO – Main Page, ""Try demo"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4394","CySEC EN – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4377","SCB FR – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","8134","ASIC EN – Main Page, ""Buy link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","7367","SCB FR – Main Page, ""Buy link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4268","SCB RU – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","9028","CySEC FR – Main Page, ""Sell link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4235","SCB DE – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4267","FCA EN – Main Page, ""Try demo"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4301","SCA EN – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4285","CySEC DE – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4347","CySEC RO – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4275","CySEC FR – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4263","CySEC IT – Main Page, ""Sign up - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","7535","CySEC IT – Main Page, ""Buy link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","8919","CySEC PL – Main Page, ""Buy link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","9001","CySEC RO – Main Page, ""Buy link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4792","SCB AR – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4942","CySEC NL – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4235","CySEC EN – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4736","CySEC NL – Main Page, ""Try demo"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","7583","CySEC PL – Main Page, ""Sell link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4261","SCA EN – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4297","CySEC PL – Main Page, ""Try demo"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","7942","CySEC RO – Main Page, ""Sell link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4398","CySEC NL – Main Page, ""Sign up - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","7731","CySEC NL – Main Page, ""Buy link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4758","CySEC PL – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","5062","SCB EN – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4939","FCA EN – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4720","CySEC PL – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4573","CySEC FR – Main Page, ""Sign up"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4333","SCB AR – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4323","ASIC EN – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4339","CySEC EN – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4386","SCB FR – Main Page, ""Sign up - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4443","FCA EN – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4941","SCB RU – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4486","CySEC DE – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","failed","2026-01-26","","main_page/main_page.spec.js","",""
"","8898","CySEC FR – Main Page, ""Buy link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4245","SCB FR – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4851","SCB DE – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","9126","CySEC NL – Main Page, ""Sell link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","8937","SCB RU – Main Page, ""Sell link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","11746","SCB FR – Main Page, ""Sell link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","8867","CySEC EN – Main Page, ""Sell link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4263","FCA EN – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4793","SCA EN – Main Page, ""Sign up - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4913","CySEC PL – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4414","ASIC EN – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","9191","ASIC EN – Main Page, ""Sell link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4634","CySEC IT – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4270","SCB DE – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4251","SCB RU – Main Page, ""Sign up - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4249","SCB AR – Main Page, ""Try demo"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4279","CySEC PL – Main Page, ""Sign up - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4319","CySEC NL – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","8169","CySEC EN – Main Page, ""Buy link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","5268","SCB EN – Main Page, ""Sign up - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","9023","CySEC IT – Main Page, ""Sell link"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4334","CySEC NL – Main Page, ""Sign up- Why Capital"" - un","chromium","2026-01-26","failed","2026-01-26","","main_page/main_page.spec.js","",""
"","4239","CySEC NL – Main Page, ""Create your account - Ready"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4202","CySEC DE – Main Page, ""Try demo"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
"","4352","SCA AR – Main Page, ""Try demo - For Learner"" - un","chromium","2026-01-26","passed","2026-01-26","","main_page/main_page.spec.js","",""
