"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14268","CySEC IT – Main Page, ""Sell link""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","13552","CySEC FR – Main Page, ""Try demo - For Learner""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","14300","CySEC EN – Main Page, ""Buy link""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","14715","SCA EN – Main Page, ""Sign up""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","13566","FCA EN – Main Page, ""Sign up - For Learner""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","13303","SCB AR – Main Page, ""Sell link""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","7878","CySEC DE – Main Page, ""Sign up- Why Capital""","authorized","2026-02-16","failed","2026-02-16","","main_page/main_page.spec.js","",""
"","13522","ASIC EN – Main Page, ""Sign up - For Learner""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","13369","CySEC RO – Main Page, ""Sell link""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","13236","SCA EN – Main Page, ""Try demo""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","14136","CySEC FR – Main Page, ""Sell link""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","13619","SCB FR – Main Page, ""Sign up- Why Capital""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","13344","CySEC RO – Main Page, ""Try demo""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","14512","SCA EN – Main Page, ""Sign up- Why Capital""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","13914","SCB DE – Main Page, ""Create your account - Ready""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","14029","SCB AR – Main Page, ""Sign up - For Learner""","authorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
