"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5907","CySEC RO – Main Page, ""Sign up- Why Capital""","unauthorized","2026-02-16","failed","2026-02-16","","main_page/main_page.spec.js","",""
"","6048","SCB EN – Main Page, ""Sign up - For Learner""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5178","SCB AR – Main Page, ""Sign up- Why Capital""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","4980","SCB AR – Main Page, ""Try demo""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5474","CySEC NL – Main Page, ""Try demo - For Learner""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5301","ASIC EN – Main Page, ""Try demo""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","10282","SCB AR – Main Page, ""Sell link""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5188","CySEC DE – Main Page, ""Sign up - For Learner""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5487","SCB EN – Main Page, ""Try demo""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","4992","CySEC PL – Main Page, ""Try demo""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","10125","CySEC IT – Main Page, ""Buy link""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5539","SCB AR – Main Page, ""Sign up""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","13489","SCB FR – Main Page, ""Buy link""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","10055","FCA EN – Main Page, ""Buy link""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5525","SCB DE – Main Page, ""Sign up- Why Capital""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5024","SCA EN – Main Page, ""Sign up - For Learner""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5590","CySEC FR – Main Page, ""Sign up - For Learner""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","10845","CySEC EN – Main Page, ""Sell link""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5846","FCA EN – Main Page, ""Sign up- Why Capital""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5250","SCB RU – Main Page, ""Sign up- Why Capital""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5122","ASIC EN – Main Page, ""Try demo - For Learner""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5581","SCB FR – Main Page, ""Create your account - Ready""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5671","SCB DE – Main Page, ""Sign up - For Learner""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5702","CySEC RO – Main Page, ""Create your account - Ready""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5791","ASIC EN – Main Page, ""Sign up""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5642","CySEC DE – Main Page, ""Create your account - Ready""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","10044","CySEC PL – Main Page, ""Sell link""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5687","SCA EN – Main Page, ""Create your account - Ready""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5801","SCB FR – Main Page, ""Sign up""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5551","CySEC EN – Main Page, ""Try demo""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","6169","SCB EN – Main Page, ""Create your account - Ready""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5564","ASIC EN – Main Page, ""Sign up- Why Capital""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5268","FCA EN – Main Page, ""Try demo - For Learner""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
"","5293","SCB DE – Main Page, ""Create your account - Ready""","unauthorized","2026-02-16","passed","2026-02-16","","main_page/main_page.spec.js","",""
