"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","SCA EN – Main Page, ""Try demo - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","1","SCB EN – Main Page, ""Try demo""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC DE – Main Page, ""Try demo""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCA AR – Main Page, ""Try demo""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB AR – Main Page, ""Try demo""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB DE – Main Page, ""Buy link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC FR – Main Page, ""Create your account - Ready""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCA EN – Main Page, ""Sign up - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCA EN – Main Page, ""Create your account - Ready""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCA AR – Main Page, ""Create your account - Ready""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB FR – Main Page, ""Sign up - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC PL – Main Page, ""Sign up- Why Capital""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB AR – Main Page, ""Sign up- Why Capital""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB EN – Main Page, ""Create your account - Ready""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCA AR – Main Page, ""Sign up - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB AR – Main Page, ""Buy link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC EN – Main Page, ""Create your account - Ready""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC NL – Main Page, ""Buy link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB DE – Main Page, ""Sell link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","ASIC EN – Main Page, ""Buy link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC FR – Main Page, ""Try demo - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB RU – Main Page, ""Buy link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC DE – Main Page, ""Sign up""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","1","CySEC EN – Main Page, ""Sign up - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC IT – Main Page, ""Try demo - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC IT – Main Page, ""Sell link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB EN – Main Page, ""Sell link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","1","CySEC NL – Main Page, ""Sign up- Why Capital""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCA AR – Main Page, ""Sign up""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC NL – Main Page, ""Sell link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC PL – Main Page, ""Try demo - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC FR – Main Page, ""Sign up - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB DE – Main Page, ""Sign up""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC NL – Main Page, ""Sign up""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB DE – Main Page, ""Sign up - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB FR – Main Page, ""Try demo""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB EN – Main Page, ""Sign up""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","SCB AR – Main Page, ""Sell link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","1","CySEC EN – Main Page, ""Sell link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","FCA EN – Main Page, ""Try demo - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","FCA EN – Main Page, ""Sell link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","1","CySEC NL – Main Page, ""Try demo - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC DE – Main Page, ""Sell link""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC IT – Main Page, ""Sign up""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
"","0","CySEC DE – Main Page, ""Try demo - For Learner""","authorized","2026-03-09","skipped","2026-03-09","","main_page/main_page.spec.js","",""
