"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8418","SCB FR – Main Page, ""Sign up - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7958","SCA AR – Main Page, ""Try demo""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8297","CySEC DE – Main Page, ""Sign up""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8272","SCA AR – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8478","CySEC IT – Main Page, ""Sign up""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8754","CySEC FR – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13702","CySEC NL – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8292","CySEC DE – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13613","SCA EN – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8243","CySEC EN – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13441","CySEC IT – Main Page, ""Buy link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8895","SCB AR – Main Page, ""Sign up - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8595","ASIC EN – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13550","ASIC EN – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8205","CySEC DE – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8420","FCA EN – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7999","SCA EN – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8687","ASIC EN – Main Page, ""Sign up- Why Capital""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8566","SCB EN – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8251","CySEC EN – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13309","SCB EN – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13569","CySEC PL – Main Page, ""Buy link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8248","CySEC NL – Main Page, ""Sign up- Why Capital""","authorized","2026-03-31","failed","2026-03-31","","main_page/main_page.spec.js","",""
"","8214","CySEC RO – Main Page, ""Try demo""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13624","CySEC NL – Main Page, ""Buy link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13755","SCA AR – Main Page, ""Buy link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8226","CySEC NL – Main Page, ""Sign up - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8411","ASIC EN – Main Page, ""Sign up - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8459","CySEC NL – Main Page, ""Try demo""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8257","FCA EN – Main Page, ""Try demo""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13439","CySEC EN – Main Page, ""Buy link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13876","CySEC FR – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8378","FCA EN – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13490","SCB FR – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13383","CySEC FR – Main Page, ""Buy link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8071","CySEC RO – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8123","SCB DE – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8882","CySEC EN – Main Page, ""Sign up- Why Capital""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8233","CySEC RO – Main Page, ""Sign up - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8486","FCA EN – Main Page, ""Sign up""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13902","FCA EN – Main Page, ""Buy link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7952","CySEC NL – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","14370","CySEC RO – Main Page, ""Buy link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","14044","CySEC IT – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13771","SCA EN – Main Page, ""Buy link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8730","SCB AR – Main Page, ""Sign up- Why Capital""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8265","CySEC NL – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7989","ASIC EN – Main Page, ""Try demo""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7831","CySEC EN – Main Page, ""Try demo""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8301","CySEC RO – Main Page, ""Sign up""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8856","CySEC PL – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13482","CySEC RO – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8194","CySEC RO – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8123","CySEC RO – Main Page, ""Sign up- Why Capital""","authorized","2026-03-31","failed","2026-03-31","","main_page/main_page.spec.js","",""
"","8592","SCA AR – Main Page, ""Sign up""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8515","FCA EN – Main Page, ""Sign up - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13321","SCB DE – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7975","SCB FR – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7973","SCB EN – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8519","CySEC IT – Main Page, ""Sign up - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7983","ASIC EN – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","13641","FCA EN – Main Page, ""Sell link""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8393","SCB AR – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7873","CySEC FR – Main Page, ""Try demo""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7872","SCA EN – Main Page, ""Sign up""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7676","CySEC PL – Main Page, ""Sign up - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8118","CySEC DE – Main Page, ""Sign up- Why Capital""","authorized","2026-03-31","failed","2026-03-31","","main_page/main_page.spec.js","",""
"","8581","SCB DE – Main Page, ""Create your account - Ready""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8222","CySEC EN – Main Page, ""Sign up - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8481","SCB FR – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8863","CySEC FR – Main Page, ""Sign up- Why Capital""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8867","CySEC PL – Main Page, ""Sign up- Why Capital""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","7841","CySEC DE – Main Page, ""Try demo""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8218","SCA EN – Main Page, ""Try demo""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8281","CySEC PL – Main Page, ""Sign up""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8080","CySEC IT – Main Page, ""Try demo - For Learner""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","8284","SCB EN – Main Page, ""Sign up""","authorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
