"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5517","CySEC PL – Main Page, ""Create your account - Ready""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","10767","CySEC IT – Main Page, ""Sell link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","10871","FCA EN – Main Page, ""Sell link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","10711","CySEC PL – Main Page, ""Buy link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5594","SCB AR – Main Page, ""Sign up - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5555","FCA EN – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5464","SCB DE – Main Page, ""Sign up""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","11884","CySEC NL – Main Page, ""Sell link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5591","SCA EN – Main Page, ""Create your account - Ready""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5941","CySEC DE – Main Page, ""Try demo""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6087","SCB DE – Main Page, ""Try demo""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6223","SCA AR – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","11217","CySEC EN – Main Page, ""Buy link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6025","FCA EN – Main Page, ""Try demo""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5959","SCA EN – Main Page, ""Try demo""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","11197","SCB EN – Main Page, ""Sell link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5494","SCA EN – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","10189","ASIC EN – Main Page, ""Buy link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5568","SCB FR – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","10686","SCA EN – Main Page, ""Buy link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6039","CySEC RO – Main Page, ""Create your account - Ready""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5965","CySEC NL – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5728","SCB RU – Main Page, ""Sign up - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5501","ASIC EN – Main Page, ""Create your account - Ready""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5414","ASIC EN – Main Page, ""Try demo""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5848","CySEC NL – Main Page, ""Try demo""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5904","SCB FR – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5552","CySEC EN – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6095","CySEC NL – Main Page, ""Sign up - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","10829","SCA AR – Main Page, ""Buy link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","10579","FCA EN – Main Page, ""Buy link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6077","SCB EN – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","11206","SCB DE – Main Page, ""Buy link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5467","SCB EN – Main Page, ""Create your account - Ready""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6169","CySEC EN – Main Page, ""Create your account - Ready""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5627","SCB RU – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6015","CySEC FR – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6030","CySEC IT – Main Page, ""Sign up - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5650","SCB AR – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","11247","CySEC NL – Main Page, ""Buy link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","11395","SCB AR – Main Page, ""Sell link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5928","SCB RU – Main Page, ""Sign up""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5972","CySEC FR – Main Page, ""Sign up - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5417","CySEC EN – Main Page, ""Try demo""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5748","CySEC RO – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-09","failed","2026-03-09","","main_page/main_page.spec.js","",""
"","6199","SCB RU – Main Page, ""Create your account - Ready""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6184","CySEC FR – Main Page, ""Create your account - Ready""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5809","CySEC DE – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-09","failed","2026-03-09","","main_page/main_page.spec.js","",""
"","6765","CySEC DE – Main Page, ""Create your account - Ready""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5988","SCA AR – Main Page, ""Sign up""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6146","CySEC RO – Main Page, ""Sign up - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6625","CySEC NL – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-09","failed","2026-03-09","","main_page/main_page.spec.js","",""
"","11501","CySEC PL – Main Page, ""Sell link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6137","SCB DE – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5018","SCB FR – Main Page, ""Sign up""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","11290","CySEC DE – Main Page, ""Sell link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5906","CySEC RO – Main Page, ""Try demo""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5491","CySEC DE – Main Page, ""Sign up - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","10657","SCA AR – Main Page, ""Sell link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","11159","CySEC DE – Main Page, ""Buy link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5587","CySEC RO – Main Page, ""Sign up""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5466","SCA EN – Main Page, ""Sign up""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6016","CySEC DE – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6057","CySEC EN – Main Page, ""Sign up""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","11184","SCB RU – Main Page, ""Sell link""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","6066","SCB EN – Main Page, ""Try demo""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
"","5969","CySEC IT – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-09","failed","2026-03-09","","main_page/main_page.spec.js","",""
"","6166","SCB DE – Main Page, ""Sign up - For Learner""","unauthorized","2026-03-09","passed","2026-03-09","","main_page/main_page.spec.js","",""
