"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6101","SCA AR – Main Page, ""Create your account - Ready""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","5972","CySEC NL – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","6226","CySEC IT – Main Page, ""Sign up""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","5800","SCA EN – Main Page, ""Sign up""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","11377","CySEC DE – Main Page, ""Buy link""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","6367","FCA EN – Main Page, ""Sign up - For Learner""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","11527","FCA EN – Main Page, ""Buy link""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","11209","SCB AR – Main Page, ""Buy link""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","5929","CySEC FR – Main Page, ""Create your account - Ready""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","11249","SCB RU – Main Page, ""Buy link""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","6454","SCA AR – Main Page, ""Try demo""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","11783","CySEC RO – Main Page, ""Sell link""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","11615","CySEC NL – Main Page, ""Buy link""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","5814","CySEC PL – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","6047","CySEC IT – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-31","failed","2026-03-31","","main_page/main_page.spec.js","",""
"","6053","CySEC DE – Main Page, ""Sign up""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","6083","SCB AR – Main Page, ""Try demo - For Learner""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","6211","CySEC PL – Main Page, ""Sign up""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","5996","CySEC PL – Main Page, ""Sign up- Why Capital""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","6564","CySEC RO – Main Page, ""Create your account - Ready""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
"","5873","CySEC RO – Main Page, ""Sign up""","unauthorized","2026-03-31","passed","2026-03-31","","main_page/main_page.spec.js","",""
