"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5834","SCB AR – Main Page, ""Sign up""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5534","CySEC DE – Main Page, ""Try demo""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5464","CySEC IT – Main Page, ""Sign up""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","6267","CySEC EN – Main Page, ""Sign up - For Learner""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","10818","CySEC RO – Main Page, ""Sell link""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","10859","SCB FR – Main Page, ""Buy link""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","11326","CySEC PL – Main Page, ""Buy link""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5728","SCB RU – Main Page, ""Try demo""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","11207","SCB RU – Main Page, ""Buy link""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5502","CySEC RO – Main Page, ""Sign up - For Learner""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5883","FCA EN – Main Page, ""Try demo - For Learner""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5830","SCB FR – Main Page, ""Try demo""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5974","CySEC IT – Main Page, ""Create your account - Ready""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5866","CySEC RO – Main Page, ""Try demo""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5668","CySEC PL – Main Page, ""Sign up- Why Capital""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5825","ASIC EN – Main Page, ""Sign up - For Learner""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","10864","SCB RU – Main Page, ""Sell link""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","11444","CySEC RO – Main Page, ""Buy link""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
"","5950","FCA EN – Main Page, ""Sign up- Why Capital""","unregistered","2026-03-10","passed","2026-03-10","","main_page/main_page.spec.js","",""
