"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5457","SCB EN – CFD Calculator: Sign up - How to start- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5393","SCB EN – All Platforms: Create Account - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/all_platforms_page.spec.js","",""
"","5354","CySEC PL – All Platforms: Try demo account - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/all_platforms_page.spec.js","",""
"","5967","SCB RU – All Platforms: Sign up - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/all_platforms_page.spec.js","",""
"","5968","SCB AR – CFD Calculator: Trade now- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5866","CySEC EN – CFD Calculator: Sign up - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","6150","CySEC IT – All Platforms: Create Account - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/all_platforms_page.spec.js","",""
"","6229","CySEC NL – CFD Calculator: Sign up - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5936","FCA EN – CFD Calculator: Sign up - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5943","SCB DE – CFD Calculator: Sign up - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5441","SCA EN – CFD Calculator: Trade now- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5854","SCB RU – CFD Calculator: Try demo- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5885","CySEC IT – CFD Calculator: Sign up - How to start- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5943","FCA EN – CFD Calculator: Sign up - How to start- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5932","SCB FR – CFD Calculator: Trade now- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5934","CySEC PL – CFD Calculator: Try demo- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5589","SCA EN – All Platforms: Try demo account - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/all_platforms_page.spec.js","",""
"","5885","FCA EN – CFD Calculator: Try demo- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5558","SCB FR – All Platforms: Try demo account - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/all_platforms_page.spec.js","",""
"","5539","FCA EN – CFD Calculator: Trade now- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5808","FCA EN – All Platforms: Sign up - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/all_platforms_page.spec.js","",""
"","5871","CySEC EN – CFD Calculator: Trade now- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5746","SCB DE – CFD Calculator: Sign up - How to start- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5505","CySEC FR – CFD Calculator: Trade now- un","chromium","2026-01-22","passed","2026-01-22","","trading_page/cfd_calculator_page.spec.js","",""
"","5862","CySEC NL – All Platforms: Create Account - un","chromium","2026-01-22","passed","2026-01-22","","trading_page/all_platforms_page.spec.js","",""
