"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15440","SCB AR – Trading Page, Try demo account","authorized","2026-02-15","passed","2026-02-15","","trading_page/trading_page.spec.js","",""
"","14655","CySEC PL – MT4, Download For Mac","authorized","2026-02-15","passed","2026-02-15","","trading_page/mt4_page.spec.js","",""
"","14413","SCB AR – CFD Calculator: Try demo","authorized","2026-02-15","passed","2026-02-15","","trading_page/cfd_calculator_page.spec.js","",""
"","13460","SCB AR – CFD Trading: Try demo","authorized","2026-02-15","passed","2026-02-15","","trading_page/cfd_trading_page.spec.js","",""
"","14221","FCA EN – MT4: Open account","authorized","2026-02-15","passed","2026-02-15","","trading_page/mt4_page.spec.js","",""
"","13478","SCB RU – MT4, Create account: Three Steps","authorized","2026-02-15","passed","2026-02-15","","trading_page/mt4_page.spec.js","",""
"","14671","CySEC DE – CFD Trading: Create Account","authorized","2026-02-15","passed","2026-02-15","","trading_page/cfd_trading_page.spec.js","",""
"","10443","CySEC EN – MT4, Download from App Store","authorized","2026-02-15","passed","2026-02-15","","trading_page/mt4_page.spec.js","",""
"","14450","CySEC DE – Demo Trading: Create your account","authorized","2026-02-15","passed","2026-02-15","","trading_page/demo_trading_page.spec.js","",""
"","14197","FCA EN – CFD Calculator: Trade now","authorized","2026-02-15","passed","2026-02-15","","trading_page/cfd_calculator_page.spec.js","",""
"","15491","CySEC PL – MT4, Create account: Three Steps","authorized","2026-02-15","passed","2026-02-15","","trading_page/mt4_page.spec.js","",""
"","13692","FCA EN – Demo Trading: Create your account","authorized","2026-02-15","passed","2026-02-15","","trading_page/demo_trading_page.spec.js","",""
"","15839","CySEC IT – CFD Calculator: Sign up","authorized","2026-02-15","passed","2026-02-15","","trading_page/cfd_calculator_page.spec.js","",""
"","14421","CySEC RO – All Platforms: Try demo account","authorized","2026-02-15","passed","2026-02-15","","trading_page/all_platforms_page.spec.js","",""
"","13382","SCA EN – Trading View, Download for MacOs","authorized","2026-02-15","passed","2026-02-15","","trading_page/trading_view.spec.js","",""
"","10969","CySEC IT – Web Platform, Verify QR Code","authorized","2026-02-15","passed","2026-02-15","","trading_page/web_platform_page.spec.js","",""
"","10978","SCB RU – Mobile Apps, QR Code: Investmate","authorized","2026-02-15","passed","2026-02-15","","trading_page/mobile_apps.spec.js","",""
"","14070","SCB FR – MT4, Create your account","authorized","2026-02-15","passed","2026-02-15","","trading_page/mt4_page.spec.js","",""
"","11249","SCA EN – Mobile Apps, QR Code: CFD trading app","authorized","2026-02-15","passed","2026-02-15","","trading_page/mobile_apps.spec.js","",""
"","16475","CySEC NL – Trading Page, Create account","authorized","2026-02-15","passed","2026-02-15","","trading_page/trading_page.spec.js","",""
"","16653","CySEC IT – Demo Trading: Try demo","authorized","2026-02-15","passed","2026-02-15","","trading_page/demo_trading_page.spec.js","",""
"","10832","SCA AR – MT4, Download Google Play","authorized","2026-02-15","passed","2026-02-15","","trading_page/mt4_page.spec.js","",""
"","14377","CySEC IT – All Platforms: Sign up","authorized","2026-02-15","passed","2026-02-15","","trading_page/all_platforms_page.spec.js","",""
