"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6564","FCA EN – All Platforms: Create Account","unauthorized","2026-02-16","failed","2026-02-16","","trading_page/all_platforms_page.spec.js","",""
"","12856","SCB ZHT – CFD Trading: Buy","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_trading_page.spec.js","",""
"","6354","SCB EN – Trading Page, Try demo account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/trading_page.spec.js","",""
"","6505","CySEC NL – CFD Calculator: Try demo","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_calculator_page.spec.js","",""
"","6906","SCB AR – CFD Calculator: Try demo","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_calculator_page.spec.js","",""
"","7541","SCB FR – CFD Trading: Create Account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_trading_page.spec.js","",""
"","7239","CySEC RO – All Platforms: Sign up","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/all_platforms_page.spec.js","",""
"","7021","SCB ZHT – CFD Calculator: Try demo","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_calculator_page.spec.js","",""
"","6908","SCB FR – All Platforms: Try demo account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/all_platforms_page.spec.js","",""
"","8097","SCB FR – MT4, Download Google Play","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/mt4_page.spec.js","",""
"","12450","SCA AR – CFD Trading: Sell","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_trading_page.spec.js","",""
"","6971","CySEC IT – Trading Page, Try demo account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/trading_page.spec.js","",""
"","9162","SCB FR – Mobile Apps, QR Code: CFD trading app","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/mobile_apps.spec.js","",""
"","6195","CySEC DE – MT4: Sign up, Why Choose","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/mt4_page.spec.js","",""
"","8352","CySEC FR – Trading Page, Create account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/trading_page.spec.js","",""
"","7212","SCA EN – CFD Trading: Create Account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_trading_page.spec.js","",""
"","8142","SCB FR – CFD Calculator: Sign up","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_calculator_page.spec.js","",""
"","8390","FCA EN – CFD Trading: Create your account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_trading_page.spec.js","",""
"","8021","SCB ZHT – All Platforms: Create Account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/all_platforms_page.spec.js","",""
"","7582","SCB ZHT – MT4, Web Terminal","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/mt4_page.spec.js","",""
"","6032","CySEC FR – CFD Calculator: Sign up - How to start","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_calculator_page.spec.js","",""
"","8180","ASIC EN – Fraud Prevention: Create your account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/fraud_prevention_page.spec.js","",""
"","7489","ASIC EN – All Platforms: Sign up","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/all_platforms_page.spec.js","",""
"","11761","CySEC RO – MT4, Download For Mac","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/mt4_page.spec.js","",""
"","14780","SCB DE – MT4, Download For Windows","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/mt4_page.spec.js","",""
"","7324","CySEC NL – MT4, Create your account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/mt4_page.spec.js","",""
"","12399","SCA EN – CFD Trading: Sell","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_trading_page.spec.js","",""
"","8616","SCB FR – Web Platform, Verify QR Code","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/web_platform_page.spec.js","",""
"","12272","SCB EN – CFD Trading: Sell","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_trading_page.spec.js","",""
"","6717","SCB FR – CFD Calculator: Sign up - How to start","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_calculator_page.spec.js","",""
"","6610","SCB AR – CFD Calculator: Sign up - How to start","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/cfd_calculator_page.spec.js","",""
"","9113","SCA AR – Mobile Apps, QR Code: CFD trading app","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/mobile_apps.spec.js","",""
"","7551","SCA EN – All Platforms: Sign up","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/all_platforms_page.spec.js","",""
"","7483","SCB EN – Trading Page, Create account","unauthorized","2026-02-16","passed","2026-02-16","","trading_page/trading_page.spec.js","",""
